word_ix;text;row;column;length;abs_start_position;abs_snake_position;color
0;END_OF_WORDS;0;0;0;0;0;#000000
1;ES_1;0;0;2;1;1;#FFFFFF
2;IST_2;0;3;3;4;4;#FFFFFF
3;VIERTEL_3;0;7;7;7;7;#FFFFFF
4;EIN_4;0;14;3;15;15;#FFFFFF
5;EINS_5;0;14;4;15;15;#FFFFFF
6;IN_6;0;15;2;16;16;#FFFFFF
7;DREI_7;1;0;4;36;33;#FFFFFF
8;EIN_8;1;2;3;34;32;#FFFFFF
9;EINE_9;1;2;4;34;31;#FFFFFF
10;EINER_10;1;2;5;34;30;#FFFFFF
11;SECH_11;1;7;4;29;24;#FFFFFF
12;SECHS_12;1;7;5;29;25;#FFFFFF
13;SIEB;1;11;4;25;22;#FFFFFF
14;SIEBEN;1;11;6;24;20;#FFFFFF
15;ELF;2;0;3;37;37;#FFFFFF
16;FÜNF;2;2;4;39;39;#FFFFFF
17;NEUN;2;6;4;43;43;#FFFFFF
18;VIER;2;10;4;47;47;#FFFFFF
19;ACHT;2;14;4;51;51;#FFFFFF
20;NULL;3;0;4;72;69;#FFFFFF
21;ZWEI;3;4;4;68;65;#FFFFFF
22;ZWÖLF;3;9;5;63;59;#FFFFFF
23;ZEHN;3;14;4;58;55;#FFFFFF
24;UND;4;0;3;73;73;#FFFFFF
25;ZWANZIG;4;4;7;77;77;#FFFFFF
26;VIERZIG;4;11;7;84;84;#FFFFFF
27;DREISSIG;5;0;8;108;101;#FFFFFF
28;FÜNFZIG;5;8;7;100;94;#FFFFFF
29;UHR;5;15;3;93;91;#FFFFFF
30;MINUTE;6;0;6;109;109;#FFFFFF
31;MINUTEN;6;0;7;109;109;#FFFFFF
32;VOR;6;8;3;117;117;#FFFFFF
33;UND;6;11;3;120;120;#FFFFFF
34;NACH;6;14;4;123;123;#FFFFFF
35;EIN;7;0;4;144;141;#FFFFFF
36;DREIVIERTEL;7;0;6;144;139;#FFFFFF
37;VIERTEL;7;7;11;137;134;#FFFFFF
38;HALB;7;11;7;133;127;#FFFFFF
39;SIEB;8;0;4;145;145;#FFFFFF
40;SIEBEN;8;0;6;145;145;#FFFFFF
41;NEUN;8;5;4;150;150;#FFFFFF
42;NULL;8;8;4;153;153;#FFFFFF
43;ZWEI;8;12;4;157;157;#FFFFFF
44;EIN;8;14;3;159;159;#FFFFFF
45;EINE;8;14;4;159;162;#FFFFFF
46;FÜNF;9;0;4;180;173;#FFFFFF
47;SECH;9;4;4;176;173;#FFFFFF
48;SECHS;9;4;5;176;172;#FFFFFF
49;ACHT;9;9;4;171;168;#FFFFFF
50;VIER;9;13;4;167;164;#FFFFFF
51;DREI;10;0;4;181;181;#FFFFFF
52;EIN;10;2;3;183;183;#FFFFFF
53;EINS;10;2;4;183;183;#FFFFFF
54;UND;10;6;3;187;187;#FFFFFF
55;ELF;10;10;3;191;191;#FFFFFF
56;ZEHN;10;14;4;195;195;#FFFFFF
57;ZWANZIG;11;0;7;216;210;#FFFFFF
58;GRAD;11;7;4;209;206;#FFFFFF
59;DREISSIG;11;10;8;206;199;#FFFFFF
60;VIERZIG;12;0;7;217;223;#FFFFFF
61;ZWÖLF;12;7;5;224;228;#FFFFFF
62;FÜNFZIG;12;11;7;228;234;#FFFFFF
63;MINUTE;13;0;6;252;247;#FFFFFF
64;MINUTEN;13;0;7;252;246;#FFFFFF
65;UHR;13;7;3;245;243;#FFFFFF
66;FRÜH;13;11;4;241;238;#FFFFFF
67;VOR;13;15;3;237;235;#FFFFFF
68;ABENDS;14;0;6;253;258;#FFFFFF
69;MITTERNACHT;14;6;11;259;268;#FFFFFF
70;NACH;14;12;4;265;268;#FFFFFF
70;NACHTS;14;12;6;265;270;#FFFFFF
71;MORGENS;15;0;7;288;282;#FFFFFF
72;WARM;15;7;4;281;278;#FFFFFF
73;MITTAGS;15;11;7;277;271;#FFFFFF
